Rider,number_plate,helmet,timestamp,ID
C:\Users\shafaat hussain\RoadSense-Ai\redlight_project\nohelmetapp\riders_pictures\158951.jpg,['C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\158951.jpg'],False,23,2
C:\Users\shafaat hussain\RoadSense-Ai\redlight_project\nohelmetapp\riders_pictures\651765.jpg,"['C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\615725.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\762710.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\928525.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\750724.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\435595.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\396009.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\887025.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\800111.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\505888.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\711722.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\706527.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\478234.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\395309.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\251332.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\771990.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\350075.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\769721.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\151219.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\344369.jpg', 'C:\\Users\\shafaat hussain\\RoadSense-Ai\\redlight_project\\nohelmetapp\\number_plates\\651765.jpg']",False,28,3
